ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;NOME_COMPLEXO;MUNICIPIO_COMPLEXO;UF_COMPLEXO;NOME_EXIBIDOR
258;6;6;6;SIM;NÃO;SIM;GNC PRAIA DE BELAS;PORTO ALEGRE;RS;PRAIA DE BELAS EMPREENDIMENTOS CINEMATOGRÁFICOS LTDA
160;6;6;6;SIM;SIM;NÃO;CINE LASER PONTA GROSSA;PONTA GROSSA;PR;CINE LASER CINEMAS PONTA GROSSA LTDA
157;6;6;6;SIM;SIM;NÃO;CINE LASER PONTA GROSSA;PONTA GROSSA;PR;CINE LASER CINEMAS PONTA GROSSA LTDA
120;6;6;6;SIM;SIM;NÃO;CINE LASER VILHENA JARDINS;VILHENA;RO;CINE LASER CINEMAS LTDA
119;6;6;6;SIM;SIM;NÃO;CINE LASER VILHENA JARDINS;VILHENA;RO;CINE LASER CINEMAS LTDA
100;6;6;6;SIM;SIM;NÃO;CINE LASER PONTA GROSSA;PONTA GROSSA;PR;CINE LASER CINEMAS PONTA GROSSA LTDA
92;6;6;6;SIM;SIM;NÃO;CINE LASER PONTA GROSSA;PONTA GROSSA;PR;CINE LASER CINEMAS PONTA GROSSA LTDA
223;4;6;6;NÃO;NÃO;SIM;CINESYSTEM SHOPPING VENTURA;CURITIBA;PR;REDECINE BRA CINEMATOGRÁFICA S.A.
194;2;6;6;SIM;SIM;NÃO;CULT CINEMAS SANTIAGO;SANTIAGO;RS;CULT CINEMAS SANTIAGO
216;5;5;6;SIM;SIM;NÃO;CINEFLIX NATAL;NATAL;RN;MOVIESYSTEM CINEMATOGRAFICA LTDA
497;10;4;6;SIM;NÃO;SIM;UCI ORIENT SHOPPING CENTER BARRA;SALVADOR;BA;UCI-ORIENT LTDA
207;4;4;6;SIM;SIM;NÃO;CINEFLIX - MOGI GUAÇU;MOGI GUAÇU;SP;MOVIESYSTEM CINEMATOGRAFICA LTDA
171;4;4;6;SIM;NÃO;SIM;REDECINE TOTAL PELOTAS;PELOTAS;RS;REDECINE TOTAL CINEMATOGRÁFICA LTDA
298;6;3;6;SIM;NÃO;NÃO;2110 CINEMARK TIETÊ PLAZA;SÃO PAULO;SP;CINEMARK BRASIL S.A
292;6;3;6;SIM;NÃO;SIM;2130 CINEMARK CAMAÇARI;CAMAÇARI;BA;CINEMARK BRASIL S.A
283;6;3;6;SIM;NÃO;SIM;2110 CINEMARK TIETÊ PLAZA;SÃO PAULO;SP;CINEMARK BRASIL S.A
273;6;3;6;SIM;NÃO;SIM;2117 CINEMARK VILA VELHA;VILA VELHA;ES;CINEMARK BRASIL S.A
218;5;3;6;SIM;NÃO;SIM;2119 CINEMARK CIDADE SÃO PAULO;SÃO PAULO;SP;CINEMARK BRASIL S.A
339;3;3;6;SIM;SIM;NÃO;CINE TETRO LEON;CONGONHAS;MG;FUNDACAO MUNICIPAL DE CULTURA, LAZER E TURISMO - FUMCULT
189;3;3;6;SIM;NÃO;SIM;CINE AVENIDA;LEME;SP;NOEL LAZARO TAUFIC - CINEMA - ME
248;2;3;6;SIM;NÃO;SIM;2126 CINEMARK SÃO JOSÉ DOS PINHAIS;SÃO JOSÉ DOS PINHAIS;PR;CINEMARK BRASIL S.A
247;2;3;6;SIM;NÃO;SIM;2126 CINEMARK SÃO JOSÉ DOS PINHAIS;SÃO JOSÉ DOS PINHAIS;PR;CINEMARK BRASIL S.A
195;2;3;6;SIM;NÃO;SIM;2126 CINEMARK SÃO JOSÉ DOS PINHAIS;SÃO JOSÉ DOS PINHAIS;PR;CINEMARK BRASIL S.A
231;5;2;6;SIM;NÃO;SIM;2129 CINEMARK FOZ DO IGUAÇU;FOZ DO IGUAÇU;PR;CINEMARK BRASIL S.A
216;5;2;6;SIM;NÃO;SIM;2122 CINEMARK VARGINHA;VARGINHA;MG;CINEMARK BRASIL S.A
320;6;1;6;NÃO;NÃO;SIM;REDECINE - RIO BANGU;RIO DE JANEIRO;RJ;REDECINE - RIO CINEMATOGRAFICA S.A.
239;6;1;6;SIM;NÃO;SIM;REDECINE - RIO IRAJÁ;RIO DE JANEIRO;RJ;REDECINE - RIO CINEMATOGRAFICA S.A.
134;4;1;6;SIM;NÃO;NÃO;CINEPLUS JARDIM AMÉRICA;CURITIBA;PR;CINEPLUS PRODUÇÕES ARTISTICAS E CINEMA LTDA
204;1;1;6;SIM;NÃO;SIM;CINE PLAZA;ITUMBIARA;GO;CENTER PLAZA LTDA
387;8;0;6;NÃO;NÃO;SIM;ARAUJO MULTIPLEX PARQUE DAS BANDEIRAS SHOPPING;CAMPINAS;SP;MSA EMPRESA CINEMATOGRÁFICA LTDA
384;8;0;6;NÃO;NÃO;SIM;ARAUJO MULTIPLEX PARQUE DAS BANDEIRAS SHOPPING;CAMPINAS;SP;MSA EMPRESA CINEMATOGRÁFICA LTDA
357;7;0;6;SIM;NÃO;SIM;MARINGA CATUAI;MARINGÁ;PR;MSA EMPRESA CINEMATOGRÁFICA LTDA
375;6;0;6;SIM;NÃO;SIM;MARINGA CATUAI;MARINGÁ;PR;MSA EMPRESA CINEMATOGRÁFICA LTDA
217;6;0;6;SIM;NÃO;SIM;CINESYSTEM LONDRINA;LONDRINA;PR;REDECINE BRA CINEMATOGRÁFICA S.A.
